"name" "chrom" "strand" "txStart" "txEnd" "cdsStart" "cdsEnd" "name2" "width"
"NM_020745" "chr6" "-" 44266462 44281063 44268283 44281060 "AARS2" 14601
"NM_001261434" "chr17" "-" 41102542 41116515 41102609 41116457 "AARSD1" 13973
"NM_001286668" "chr4" "-" 57204450 57253674 57204567 57248693 "AASDH" 49224
"NM_015423" "chr11" "+" 105948291 105969419 105948437 105967634 "AASDHPPT" 21128
"NM_005763" "chr7" "-" 121713597 121784344 121716542 121773780 "AASS" 70747
"NR_026961" "chr21" "-" 45225638 45232448 45232448 45232448 "AATBC" 6810
"NM_012138" "chr17" "+" 35306174 35414171 35306425 35413964 "AATF" 107997
"NM_001080395" "chr17" "-" 79091095 79139872 79092201 79139792 "AATK" 48777
"NR_027255" "chr17" "+" 79139306 79156964 79156964 79156964 "AATK-AS1" 17658
"NR_131907" "chr20" "+" 30309309 30311212 30311212 30311212 "ABALON" 1903
"NM_020686" "chr16" "+" 8768443 8878432 8829596 8875287 "ABAT" 109989
"NM_005502" "chr9" "-" 107543283 107690527 107546595 107665960 "ABCA1" 147244
"NM_080282" "chr17" "-" 67144147 67240956 67144967 67221499 "ABCA10" 96809
"NR_002451" "chr4" "-" 419223 467998 467998 467998 "ABCA11P" 48775
"NM_173076" "chr2" "-" 215796265 216003151 215797357 216002931 "ABCA12" 206886
"NM_152701" "chr7" "+" 48211056 48687091 48211080 48685108 "ABCA13" 476035
"NR_003574" "chr16" "+" 2390922 2476700 2476700 2476700 "ABCA17P" 85778
"NM_212533" "chr9" "-" 139901685 139923374 139902380 139923324 "ABCA2" 21689
"NM_001089" "chr16" "-" 2325878 2390747 2326674 2376467 "ABCA3" 64869
"NM_000350" "chr1" "-" 94458393 94586705 94458792 94586601 "ABCA4" 128312
"NM_172232" "chr17" "-" 67240575 67323323 67243677 67310556 "ABCA5" 82748
"NM_080284" "chr17" "-" 67074846 67138015 67075113 67136844 "ABCA6" 63169
"NM_019112" "chr19" "+" 1040101 1065570 1041360 1065424 "ABCA7" 25469
"NM_007168" "chr17" "-" 66863427 66951533 66864225 66938175 "ABCA8" 88106
"NM_080283" "chr17" "-" 66970772 67057136 66972055 67047267 "ABCA9" 86364
"NR_126414" "chr17" "+" 67000854 67014464 67014464 67014464 "ABCA9-AS1" 13610
"NM_000927" "chr7" "-" 87133178 87342639 87133558 87229500 "ABCB1" 209461
"NM_012089" "chr1" "-" 229652328 229694442 229653925 229694399 "ABCB10" 42114
"NM_003742" "chr2" "-" 169779448 169887833 169780131 169874635 "ABCB11" 108385
"NM_018850" "chr7" "-" 87031360 87105019 87031411 87104781 "ABCB4" 73659
"NM_001163941" "chr7" "+" 20655244 20796637 20662908 20795247 "ABCB5" 141393
"NM_005689" "chr2" "-" 220074487 220083712 220074659 220083395 "ABCB6" 9225
"NM_001271696" "chrX" "-" 74273006 74376175 74273204 74376107 "ABCB7" 103169
"NM_001282293" "chr7" "+" 150725508 150744869 150725553 150742436 "ABCB8" 19361
"NM_001243014" "chr12" "-" 123405497 123451056 123405584 123444782 "ABCB9" 45559
"NM_004996" "chr16" "+" 16043433 16236930 16043608 16235138 "ABCC1" 193497
"NM_001198934" "chr6" "+" 43395291 43418163 43395716 43417829 "ABCC10" 22872
"NM_032583" "chr16" "-" 48200821 48269088 48201184 48265832 "ABCC11" 68267
"NM_033226" "chr16" "-" 48116883 48180681 48117625 48180335 "ABCC12" 63798
"NR_003087" "chr21" "+" 15646119 15673692 15673692 15673692 "ABCC13" 27573
"NM_000392" "chr10" "+" 101542354 101611949 101542601 101611388 "ABCC2" 69595
"NM_003786" "chr17" "+" 48712217 48769063 48712297 48768561 "ABCC3" 56846
"NM_001301829" "chr13" "-" 95672082 95953700 95673828 95953568 "ABCC4" 281618
"NM_005688" "chr3" "-" 183637723 183735748 183639087 183732180 "ABCC5" 98025
"NR_046570" "chr3" "+" 183724125 183729207 183729207 183729207 "ABCC5-AS1" 5082
"NM_001171" "chr16" "-" 16243421 16317328 16243989 16317291 "ABCC6" 73907
"NR_003569" "chr16" "+" 18582569 18609607 18609607 18609607 "ABCC6P1" 27038
"NR_023387" "chr16" "-" 14916288 14918559 14918559 14918559 "ABCC6P2" 2271
"NM_000352" "chr11" "-" 17414431 17498392 17414537 17498323 "ABCC8" 83961
"NM_020297" "chr12" "-" 21950323 22089628 21953977 22089608 "ABCC9" 139305
"NM_000033" "chrX" "+" 152990322 153010216 152990721 153009189 "ABCD1" 19894
"NM_005164" "chr12" "-" 39945021 40013843 39947713 40013417 "ABCD2" 68822
"NM_002858" "chr1" "+" 94883932 94984219 94884034 94982685 "ABCD3" 100287
"NM_005050" "chr14" "-" 74751979 74769767 74753163 74769615 "ABCD4" 17788
"NM_002940" "chr4" "+" 146019155 146050676 146025564 146048725 "ABCE1" 31521
"NM_001025091" "chr6" "+" 30539169 30559309 30539264 30558478 "ABCF1" 20140
"NM_005692" "chr7" "-" 150904922 150924460 150905156 150923544 "ABCF2" 19538
"NM_018358" "chr3" "+" 183903862 183911795 183903995 183911486 "ABCF3" 7933
"NM_207627" "chr21" "+" 43619798 43717354 43621785 43716502 "ABCG1" 97556
"NM_001257386" "chr4" "-" 89011415 89152474 89013507 89061147 "ABCG2" 141059
"NM_022169" "chr11" "+" 119019749 119033374 119020675 119031816 "ABCG4" 13625
"NM_022436" "chr2" "-" 44039610 44065958 44040254 44065818 "ABCG5" 26348
"NM_022437" "chr2" "+" 44066102 44105605 44066192 44105052 "ABCG8" 39503
"NM_032604" "chr2" "+" 27346656 27353680 27346816 27353612 "ABHD1" 7024
"NM_001272069" "chr3" "+" 111697722 111712215 111697908 111709588 "ABHD10" 14493
"NM_001301058" "chr7" "-" 73150424 73153197 73151003 73153127 "ABHD11" 2773
"NR_026690" "chr7" "+" 73149398 73150330 73150330 73150330 "ABHD11-AS1" 932
"NM_015600" "chr20" "-" 25275378 25371618 25275608 25371339 "ABHD12" 96240
"NM_001206673" "chr14" "+" 51338877 51371688 51338892 51371084 "ABHD12B" 32811
"NM_032859" "chr13" "+" 108870762 108886603 108881566 108882580 "ABHD13" 15841
"NM_015407" "chr3" "+" 52009041 52015216 52009151 52015034 "ABHD14A" 6175
"NM_001316331" "chr3" "+" 52009041 52023218 52011962 52023091 "ABHD14A-ACY1" 14177
"NM_001146314" "chr3" "-" 52002525 52008646 52003441 52005686 "ABHD14B" 6121
"NM_198147" "chr17" "-" 27887688 27894042 27889578 27893984 "ABHD15" 6354
"NM_021160" "chr6_ssto_hap7" "-" 2985531 3001955 2985794 3001876 "ABHD16A" 16424
"NM_080622" "chr20" "+" 62492565 62494341 62492893 62494303 "ABHD16B" 1776
"NM_001130111" "chr19" "-" 1876974 1885518 1877198 1881565 "ABHD17A" 8544
"NM_016014" "chr9" "-" 74477367 74526161 74477496 74489996 "ABHD17B" 48794
"NM_021214" "chr15" "+" 80987651 81047962 80987770 81046711 "ABHD17C" 60311
"NM_001319305" "chr4" "+" 128886410 128960866 128922883 128956968 "ABHD18" 74456
"NM_007011" "chr15" "+" 89631380 89745591 89659558 89738654 "ABHD2" 114211
"NM_001308256" "chr18" "-" 19230857 19284766 19231551 19284626 "ABHD3" 53909
"NM_022060" "chr14" "+" 23067146 23081265 23067215 23079854 "ABHD4" 14119
"NM_016006" "chr3" "+" 43732374 43764217 43732484 43760024 "ABHD5" 31843
"NM_001320126" "chr3" "+" 58223228 58280463 58242313 58279492 "ABHD6" 57235
"NM_024527" "chr19" "-" 17402939 17414282 17403469 17412425 "ABHD8" 11343
"NM_001178122" "chr10" "-" 27035524 27150016 27037498 27149792 "ABI1" 114492
"NM_001282926" "chr2" "+" 204192961 204296896 204193237 204292075 "ABI2" 103935
"NM_001135186" "chr17" "+" 47287588 47300587 47288086 47300077 "ABI3" 12999
"NM_015429" "chr3" "-" 100468178 100712334 100469338 100712249 "ABI3BP" 244156
"NM_007313" "chr9" "+" 133589267 133763062 133589706 133761070 "ABL1" 173795
"NM_001168236" "chr1" "-" 179068461 179198819 179076852 179198532 "ABL2" 130358
"NM_001322884" "chr10" "-" 116190868 116527984 116196018 116527832 "ABLIM1" 337116
"NM_001130085" "chr4" "-" 7967036 8160559 7968716 8160416 "ABLIM2" 193523
"NM_001301028" "chr5" "+" 148521009 148640001 148521658 148639138 "ABLIM3" 118992
"NM_020469" "chr9" "-" 136130562 136150630 136131052 136150605 "ABO" 20068
"NM_001322841" "chr17" "-" 906757 1132974 909319 1132924 "ABR" 226217
"NM_139166" "chr8" "-" 107771710 107782472 107773264 107782418 "ABRA" 10762
"NM_021243" "chr6" "+" 139349818 139364439 139355297 139364040 "ABRACL" 14621
"NM_013375" "chr6" "+" 26597170 26600277 26597210 26598873 "ABT1" 3107
"NM_172027" "chr3" "+" 127391780 127399769 127391868 127399318 "ABTB1" 7989
"NM_145804" "chr11" "-" 34172533 34379555 34173933 34379130 "ABTB2" 207022
"NR_024024" "chr3" "-" 38164200 38178733 38178733 38178733 "ACAA1" 14533
"NM_006111" "chr18" "-" 47309873 47340251 47310216 47339854 "ACAA2" 30378
"NM_198834" "chr17" "-" 35441926 35766902 35444250 35766389 "ACACA" 324976
"NM_001093" "chr12" "+" 109577201 109706030 109577210 109704167 "ACACB" 128829
"NM_001136538" "chr12" "+" 112123856 112194911 112130513 112194277 "ACAD10" 71055
"NR_132428" "chr3" "-" 132276981 132378975 132378975 132378975 "ACAD11" 101994
"NM_014384" "chr11" "+" 134123433 134135746 134123494 134134854 "ACAD8" 12313
"NM_014049" "chr3" "+" 128598332 128631957 128598534 128631450 "ACAD9" 33625
"NM_001608" "chr2" "-" 211052715 211090215 211053684 211089987 "ACADL" 37500
"NM_000016" "chr1" "+" 76190031 76229363 76190472 76228448 "ACADM" 39332
"NM_000017" "chr12" "+" 121163540 121177811 121163688 121177251 "ACADS" 14271
"NM_001609" "chr10" "+" 124768428 124817806 124768545 124813281 "ACADSB" 49378
"NM_001270447" "chr17" "+" 7120443 7128586 7120464 7128416 "ACADVL" 8143
"NM_001135" "chr15" "+" 89346673 89418585 89379437 89417712 "ACAN" 71912
"NM_014716" "chr17" "+" 7239847 7254793 7240053 7254714 "ACAP1" 14946
"NM_012287" "chr3" "-" 194995464 195163817 195000056 195163576 "ACAP2" 168353
"NM_030649" "chr1" "-" 1227763 1243269 1228943 1243195 "ACAP3" 15506
"NM_000019" "chr11" "+" 107992257 108018891 107992333 108018117 "ACAT1" 26634
"NM_005891" "chr6" "+" 160182988 160200087 160183119 160199861 "ACAT2" 17099
"NM_022735" "chr1" "-" 226332379 226374423 226334310 226374376 "ACBD3" 42044
"NM_001321353" "chr17" "+" 43209966 43221548 43213511 43221008 "ACBD4" 11582
"NM_001042473" "chr10" "-" 27484142 27531068 27486358 27529323 "ACBD5" 46926
"NM_032360" "chr1" "-" 180257351 180472022 180257497 180471401 "ACBD6" 214671
"NM_001039844" "chr10" "-" 15117473 15130775 15120528 15130727 "ACBD7" 13302
"NR_144471" "chr10" "-" 15057070 15130775 15130775 15130775 "ACBD7-DCLRE1CP1" 73705
"NM_001127219" "chr11" "+" 44087728 44105569 44089177 44105342 "ACCS" 17841
"NM_001031854" "chr11" "+" 44069530 44081527 44069586 44081470 "ACCSL" 11997
"NM_001082486" "chr16" "-" 67691414 67694718 67691508 67694381 "ACD" 3304
"NM_000789" "chr17" "+" 61554421 61575741 61554455 61574727 "ACE" 21320
"NM_021804" "chrX" "-" 15579155 15620192 15580027 15619034 "ACE2" 41037
"NM_133492" "chr19" "-" 6306509 6333640 6306724 6333562 "ACER1" 27131
"NM_001010887" "chr9" "+" 19408924 19452500 19409082 19450634 "ACER2" 43576
"NM_001300953" "chr11" "+" 76571916 76737841 76572020 76731371 "ACER3" 165925
"NM_001302622" "chr7" "-" 100487614 100493754 100487834 100491853 "ACHE" 6140
"NM_001164815" "chr14" "-" 23527773 23564823 23528356 23564495 "ACIN1" 37050
"NM_002036" "chr1" "+" 159173802 159176290 159174749 159176240 "ACKR1" 2488
"NM_001296" "chr3" "+" 42850963 42908775 42905994 42907149 "ACKR2" 57812
"NM_020311" "chr2" "+" 237478379 237490994 237489108 237490197 "ACKR3" 12615
"NM_016557" "chr3" "+" 132316080 132321485 132319241 132320294 "ACKR4" 5405
"NM_001303274" "chr17" "-" 40023169 40075275 40024062 40075267 "ACLY" 52106
"NM_001307983" "chr2" "+" 135596185 135659602 135616852 135659430 "ACMSD" 63417
"NM_001278352" "chr9" "+" 32384600 32450832 32405504 32450109 "ACO1" 66232
"NM_001098" "chr22" "+" 41865128 41924993 41865150 41924617 "ACO2" 59865
"NM_001258406" "chr13" "+" 77526623 77532776 77526623 77532120 "ACOD1" 6153
"NM_001037161" "chr14" "+" 74003927 74010498 74004125 74010359 "ACOT1" 6571
"NM_015547" "chr1" "+" 55013806 55100417 55013982 55100402 "ACOT11" 86611
"NM_130767" "chr5" "-" 80625946 80689988 80626212 80689933 "ACOT12" 64042
"NM_018473" "chr6" "+" 24667262 24705295 24667491 24701843 "ACOT13" 38033
"NR_046028" "chr14" "+" 74034323 74042362 74042362 74042362 "ACOT2" 8039
"NM_152331" "chr14" "+" 74058409 74062470 74058663 74062358 "ACOT4" 4061
"NM_001037162" "chr14" "+" 74083547 74086592 74083878 74086543 "ACOT6" 3045
"NM_007274" "chr1" "-" 6324331 6453826 6324656 6453459 "ACOT7" 129495
"NM_005469" "chr20" "-" 44470359 44486048 44470476 44485954 "ACOT8" 15689
"NM_001330259" "chrX" "-" 23719173 23761404 23722010 23749087 "ACOT9" 42231
"NM_001185039" "chr17" "-" 73937588 73975515 73942828 73974769 "ACOX1" 37927
"NM_003500" "chr3" "-" 58490862 58522929 58490950 58520833 "ACOX2" 32067
"NM_001101667" "chr4" "-" 8368008 8442452 8372674 8418248 "ACOX3" 74444
"NM_001142807" "chr2" "+" 111490149 111875799 111525966 111875393 "ACOXL" 385650
"NR_024080" "chr2" "+" 264868 278282 278282 278282 "ACP1" 13414
"NM_001302490" "chr11" "-" 47260852 47270398 47261666 47270340 "ACP2" 9546
"NM_001111035" "chr19" "-" 11685474 11689823 11685824 11688132 "ACP5" 4349
"NR_136636" "chr1" "-" 147119167 147142665 147142665 147142665 "ACP6" 23498
"NM_001004318" "chr19" "+" 39574944 39602128 39575909 39600758 "ACP7" 27184
"NM_001134194" "chr3" "+" 132036210 132087146 132036300 132086666 "ACPP" 50936
"NM_033068" "chr19" "+" 51293671 51298481 51293671 51298415 "ACPT" 4810
"NM_001097" "chr22" "+" 51176651 51183727 51176663 51183635 "ACR" 7076
"NM_032489" "chr12" "-" 6747241 6756580 6747447 6756532 "ACRBP" 9339
"NM_001612" "chr11" "-" 125542228 125550793 125542487 125550675 "ACRV1" 8565
"NM_001199377" "chr15" "-" 78463186 78527049 78463785 78526843 "ACSBG1" 63863
"NM_001289177" "chr19" "+" 6135643 6193114 6141554 6190668 "ACSBG2" 57471
"NM_001288968" "chr17" "+" 48503518 48552206 48503622 48551913 "ACSF2" 48688
"NM_001127214" "chr16" "+" 89160216 89222254 89167089 89220615 "ACSF3" 62038
"NM_001995" "chr4" "-" 185676748 185747268 185678278 185724668 "ACSL1" 70520
"NM_203372" "chr2" "+" 223725731 223808119 223773490 223806372 "ACSL3" 82388
"NM_001318509" "chrX" "-" 108884558 108976632 108887257 108926715 "ACSL4" 92074
"NM_203379" "chr10" "+" 114133915 114188138 114154704 114187116 "ACSL5" 54223
"NM_001205250" "chr5" "-" 131285666 131347761 131289926 131347613 "ACSL6" 62095
"NM_001318890" "chr16" "-" 20634558 20709110 20634807 20702510 "ACSM1" 74552
"NM_001308169" "chr16" "+" 20462782 20498991 20476898 20498000 "ACSM2A" 36209
"NM_001105069" "chr16" "-" 20548082 20587695 20548579 20576167 "ACSM2B" 39613
"NM_005622" "chr16" "+" 20775311 20808479 20781356 20808294 "ACSM3" 33168
"NM_001080454" "chr12" "+" 7456927 7480969 7456927 7480969 "ACSM4" 24042
"NM_001324372" "chr16" "+" 20420855 20452654 20422806 20451774 "ACSM5" 31799
"NM_207321" "chr10" "+" 96953956 96988686 96954242 96988541 "ACSM6" 34730
"NM_001252675" "chr20" "-" 24986865 25038818 24988397 25038738 "ACSS1" 51953
"NM_001242393" "chr20" "+" 33462765 33515769 33470703 33515017 "ACSS2" 53004
"NM_001330243" "chr12" "+" 81471796 81650537 81545655 81648701 "ACSS3" 178741
"NM_001100" "chr1" "-" 229566992 229569843 229567245 229568862 "ACTA1" 2851
"NM_001141945" "chr10" "-" 90694830 90751154 90694979 90708687 "ACTA2" 56324
"NR_125373" "chr10" "+" 90692440 90699731 90699731 90699731 "ACTA2-AS1" 7291
"NM_001101" "chr7" "-" 5566778 5570232 5567378 5569288 "ACTB" 3454
"NM_001017992" "chr5" "-" 56775842 56778636 56777403 56778534 "ACTBL2" 2794
"NM_005159" "chr15" "-" 35080296 35087927 35082612 35087009 "ACTC1" 7631
"NR_037688" "chr17" "-" 79476996 79479892 79479892 79479892 "ACTG1" 2896
"NR_036446" "chr15" "-" 83394649 83408532 83408532 83408532 "ACTG1P17" 13883
"NR_033926" "chr1" "+" 27650364 27653016 27653016 27653016 "ACTG1P20" 2652
"NR_024438" "chr1" "+" 104112025 104114008 104114008 104114008 "ACTG1P4" 1983
"NM_001199893" "chr2" "+" 74120092 74146780 74128438 74146702 "ACTG2" 26688
"NM_001024675" "chr20" "+" 32254303 32256331 32255303 32256041 "ACTL10" 2028
"NM_178042" "chr3" "+" 179280667 179306193 179287878 179305798 "ACTL6A" 25526
"NM_016188" "chr7" "-" 100240725 100254084 100240868 100253977 "ACTL6B" 13359
"NM_006687" "chr9" "+" 111624507 111626035 111624602 111625910 "ACTL7A" 1528
"NM_006686" "chr9" "-" 111616868 111618275 111616962 111618210 "ACTL7B" 1407
"NM_030812" "chr1" "+" 18081807 18153558 18149503 18153014 "ACTL8" 71751
"NM_178525" "chr19" "-" 8807746 8809180 8807800 8809051 "ACTL9" 1434
"NM_001130004" "chr14" "-" 69340839 69446083 69341575 69445773 "ACTN1" 105244
"NR_073422" "chr14" "+" 69446398 69454180 69454180 69454180 "ACTN1-AS1" 7782
"NM_001103" "chr1" "+" 236849753 236927927 236849973 236925919 "ACTN2" 78174
"NM_001258371" "chr11" "+" 66313865 66330800 66313981 66330664 "ACTN3" 16935
"NM_004924" "chr19" "+" 39138255 39221172 39138385 39220072 "ACTN4" 82917
"NM_018477" "chr14" "+" 58666832 58702353 58666935 58701269 "ACTR10" 35521
"NM_005736" "chr10" "-" 104238985 104262512 104240619 104262404 "ACTR1A" 23527
"NM_005735" "chr2" "-" 98272401 98280561 98273320 98280353 "ACTR1B" 8160
"NM_005722" "chr2" "+" 65454828 65498390 65455043 65495868 "ACTR2" 43562
"NR_102318" "chr2" "+" 114647510 114719129 114719129 114719129 "ACTR3" 71619
"NM_020445" "chr7" "+" 152456833 152552464 152456967 152551638 "ACTR3B" 95631
"NR_027714" "chr2" "+" 92129158 92130496 92130496 92130496 "ACTR3BP2" 1338
"NR_045000" "chr10" "+" 38989726 38991371 38991371 38991371 "ACTR3BP5" 1645
"NM_001164458" "chr7" "-" 149944300 150020758 149946074 149992385 "ACTR3C" 76458
"NM_024855" "chr20" "+" 37377096 37401089 37377121 37400459 "ACTR5" 23993
"NM_022496" "chr12" "+" 100593864 100618202 100594629 100617693 "ACTR6" 24338
"NM_022899" "chr3" "-" 53901093 53916229 53902745 53916128 "ACTR8" 15136
"NM_138289" "chrX" "-" 127184940 127186382 127185054 127186185 "ACTRT1" 1442
"NM_080431" "chr1" "+" 2938045 2939467 2938250 2939384 "ACTRT2" 1422
"NM_032487" "chr3" "-" 169484710 169487683 169485219 169487308 "ACTRT3" 2973
"NM_001111067" "chr2" "-" 158592957 158732374 158594042 158656005 "ACVR1" 139417
"NM_004302" "chr12" "+" 52345450 52390863 52345527 52387894 "ACVR1B" 45413
"NM_145259" "chr2" "-" 158383278 158485399 158390429 158485156 "ACVR1C" 102121
"NM_001278580" "chr2" "+" 148602085 148688396 148657087 148684843 "ACVR2A" 86311
"NM_001106" "chr3" "+" 38495789 38534633 38495813 38524823 "ACVR2B" 38844
"NR_028389" "chr3" "-" 38492517 38496311 38496311 38496311 "ACVR2B-AS1" 3794
"NM_000020" "chr12" "+" 52301201 52317145 52306258 52314677 "ACVRL1" 15944
"NM_000666" "chr3" "+" 52017299 52023218 52018080 52023091 "ACY1" 5919
"NM_080658" "chr11" "-" 67410025 67418130 67410194 67414514 "ACY3" 8105
"NR_126394" "chr14" "-" 75519927 75536186 75536186 75536186 "ACYP1" 16259
"NM_001320587" "chr2" "+" 54198239 54532435 54200885 54531939 "ACYP2" 334196
"NM_001322051" "chr20" "-" 43248159 43280399 43248474 43280248 "ADA" 32240
"NM_139243" "chr4" "+" 123300120 123350947 123301224 123350894 "ADAD1" 50827
"NM_001145400" "chr16" "+" 84224722 84230772 84224836 84230580 "ADAD2" 6050
"NM_001159280" "chr15" "+" 43622553 43646753 43627305 43644143 "ADAL" 24200
"NM_001110" "chr15" "-" 58887402 59042177 58889745 59041733 "ADAM10" 154775
"NM_002390" "chr17" "+" 42836546 42859214 42836567 42857122 "ADAM11" 22668
"NM_001288973" "chr10" "-" 127700953 128077127 127705847 128076714 "ADAM12" 376174
"NR_048577" "chr1" "+" 155023747 155035252 155035252 155035252 "ADAM15" 11505
"NM_003183" "chr2" "-" 9628614 9695949 9630305 9695734 "ADAM17" 67335
"NM_001320313" "chr8" "+" 39442086 39587583 39442141 39587459 "ADAM18" 145497
"NM_033274" "chr5" "-" 156904311 157002831 156907956 157002704 "ADAM19" 98520
"NR_036636" "chr12" "+" 112336866 112339706 112339706 112339706 "ADAM1A" 2840
"NM_001464" "chr8" "-" 39601254 39695808 39602378 39695704 "ADAM2" 94554
"NM_003814" "chr14" "-" 70989077 71001732 70989293 70991624 "ADAM20" 12655
"NR_037933" "chr14" "-" 70935595 70950473 70950473 70950473 "ADAM20P1" 14878
"NM_003813" "chr14" "+" 70918873 70926622 70924216 70926385 "ADAM21" 7749
"NR_003951" "chr14" "-" 70712469 70714518 70714518 70714518 "ADAM21P1" 2049
"NM_001324417" "chr7" "+" 87563457 87832204 87563780 87825806 "ADAM22" 268747
"NM_003812" "chr2" "+" 207308367 207485854 207308590 207482351 "ADAM23" 177487
"NM_001304351" "chr8" "+" 24151552 24216531 24151662 24211917 "ADAM28" 64979
"NM_014269" "chr4" "+" 175839508 175899331 175896676 175899139 "ADAM29" 59823
"NM_021794" "chr1" "-" 120436155 120439147 120436586 120438959 "ADAM30" 2992
"NM_001313994" "chr8" "+" 38965047 39142436 38965193 39142318 "ADAM32" 177389
"NM_001282447" "chr20" "-" 3648611 3663337 3649609 3662651 "ADAM33" 14726
"NR_024107" "chr8" "-" 39308563 39380508 39380508 39380508 "ADAM3A" 71945
"NR_001448" "chr8" "+" 39172181 39260375 39260375 39260375 "ADAM5" 88194
"NR_002224" "chr14" "-" 106435817 106438358 106438358 106438358 "ADAM6" 2541
"NM_003817" "chr8" "+" 24298508 24367077 24298621 24366059 "ADAM7" 68569
"NM_001109" "chr10" "-" 135075919 135090407 135076659 135090321 "ADAM8" 14488
"NM_003816" "chr8" "+" 38854504 38962779 38854582 38961219 "ADAM9" 108275
"NM_014479" "chr8" "+" 24241797 24263526 24242017 24262811 "ADAMDEC1" 21729
"NM_006988" "chr21" "-" 28208605 28217728 28209897 28217273 "ADAMTS1" 9123
"NM_030957" "chr19" "-" 8645123 8675620 8645776 8670595 "ADAMTS10" 30497
"NM_001324512" "chr5" "-" 33523639 33892297 33527292 33891961 "ADAMTS12" 368658
"NR_024514" "chr9" "+" 136279458 136324525 136324525 136324525 "ADAMTS13" 45067
"NM_139155" "chr10" "+" 72432261 72522195 72432558 72520609 "ADAMTS14" 89934
"NM_139055" "chr11" "+" 130318868 130346540 130318868 130343716 "ADAMTS15" 27672
"NM_139056" "chr5" "+" 5140442 5320415 5140580 5319251 "ADAMTS16" 179973
"NM_139057" "chr15" "-" 100511642 100882210 100514606 100882104 "ADAMTS17" 370568
"NM_001326358" "chr16" "-" 77316024 77469011 77317852 77401595 "ADAMTS18" 152987
"NM_133638" "chr5" "+" 128795957 129074376 128796084 129072911 "ADAMTS19" 278419
"NR_125748" "chr5" "-" 128795251 128796382 128796382 128796382 "ADAMTS19-AS1" 1131
"NM_014244" "chr5" "-" 178537851 178772431 178540867 178772329 "ADAMTS2" 234580
"NM_025003" "chr12" "-" 43748011 43945724 43748011 43945724 "ADAMTS20" 197713
"NM_014243" "chr4" "-" 73146685 73434516 73148852 73434479 "ADAMTS3" 287831
"NM_005099" "chr1" "-" 161159518 161168843 161160927 161168417 "ADAMTS4" 9325
"NM_007038" "chr21" "-" 28290230 28339439 28296371 28338710 "ADAMTS5" 49209
"NR_135689" "chr5" "-" 64444562 64777747 64777747 64777747 "ADAMTS6" 333185
"NM_014272" "chr15" "-" 79051544 79103805 79051762 79103562 "ADAMTS7" 52261
"NR_045529" "chr15" "+" 82882945 82924242 82924242 82924242 "ADAMTS7P1" 41297
"NM_007037" "chr11" "-" 130274817 130298888 130275452 130298181 "ADAMTS8" 24071
